ticker,history_length,horizon,model,observations,mean_price_mae,mean_return_abs_error
NVDA,30,1,Naive,50,0.5488110667467108,0.02165032476424944
NVDA,30,5,ARIMA,50,1.4058965651347415,0.038963438004586265
NVDA,30,5,Chronos-2,50,1.2069191187620167,0.041920614863448266
NVDA,30,5,Naive,50,1.4203504514694212,0.03991711253278532
NVDA,30,10,ARIMA,50,1.4311934793500882,0.059489336325599475
NVDA,30,10,Chronos-2,50,1.9026446169614797,0.06713916372841922
NVDA,30,10,Naive,50,1.4687472367286682,0.05978375981098111
NVDA,30,20,ARIMA,50,2.129383869248867,0.08975280441861465
NVDA,30,20,Chronos-2,50,2.601817444860935,0.0939126831963207
NVDA,30,20,Naive,50,1.8870110157132138,0.08539487654271277
NVDA,60,1,ARIMA,50,0.7402309508564143,0.021904529370925747
NVDA,60,1,Chronos-2,50,0.660657801926136,0.020909926642151425
NVDA,60,1,Naive,50,0.6732669067382809,0.020670769807778832
NVDA,60,5,ARIMA,50,1.3036278437962006,0.04437838929115921
NVDA,60,5,Chronos-2,50,1.2998337358236307,0.04556207937288459
NVDA,60,5,Naive,50,1.3664960709214196,0.043901018531163266
NVDA,60,10,ARIMA,50,1.6776310609358092,0.05909207106332969
NVDA,60,10,Chronos-2,50,2.243000341653824,0.06520564713899969
NVDA,60,10,Naive,50,1.515362796187403,0.05866544055417133
NVDA,60,20,ARIMA,50,2.2255316620505594,0.07250186556799221
NVDA,60,20,Chronos-2,50,2.900193770527839,0.07417067621733393
NVDA,60,20,Naive,50,1.9906733015179623,0.07277957393005971
NVDA,90,1,ARIMA,50,0.5068457093932933,0.02065113137793757
NVDA,90,1,Chronos-2,50,0.6836119860410693,0.025140004367021303
NVDA,90,1,Naive,50,0.5736712229251855,0.021485574820710247
NVDA,90,5,ARIMA,50,1.545243417926158,0.04455654672940829
NVDA,90,5,Chronos-2,50,1.861228774785995,0.05430471935105082
NVDA,90,5,Naive,50,1.6223563069105131,0.048425933558113865
NVDA,90,10,ARIMA,50,2.178039364475167,0.061229023379635414
NVDA,90,10,Chronos-2,50,3.073047397136688,0.0799525637172696
NVDA,90,10,Naive,50,2.271373126208784,0.062021433859929524
NVDA,90,20,ARIMA,50,2.1465522062807563,0.09182205742350062
NVDA,90,20,Chronos-2,50,3.595426534712314,0.10991898853056713
NVDA,90,20,Naive,50,2.2408144962787624,0.09553705079480931
NVDA,180,1,ARIMA,50,0.7580499182797087,0.028538918379591164
NVDA,180,1,Chronos-2,50,0.8609233480691927,0.030334965778046397
NVDA,180,1,Naive,50,0.7768496257066735,0.02879810767062677
NVDA,180,1,XGBoost,50,0.5842428620319423,0.029699537158153575
NVDA,180,5,ARIMA,50,1.794896172281073,0.0641262541444137
NVDA,180,5,Chronos-2,50,1.8504892343282702,0.06286209527744141
NVDA,180,5,Naive,50,1.769702634215355,0.06274245008250622
NVDA,180,5,XGBoost,50,2.8301807550144793,0.07805716177454497
NVDA,180,10,ARIMA,50,2.114829235534066,0.0797709833220322
NVDA,180,10,Chronos-2,50,2.2112432536482802,0.07801643973200884
