experiment,ticker,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,IONQ,1,LightGBM,50,1.9067517885353067,0.6973523398265256,0.06732623051817041,0.4
Experiment 1 — Univariate Close,IONQ,1,Naive,50,1.3065998315811158,0.4999995231628418,0.049431477897668434,0.0
Experiment 1 — Univariate Close,IONQ,1,XGBoost,50,1.766403968640491,0.6409924994436667,0.06075418376260569,0.4
Experiment 1 — Univariate Close,IONQ,5,ARIMA,50,2.7136571631471123,1.1994268384861968,0.10083116224645028,0.5
Experiment 1 — Univariate Close,IONQ,5,Chronos-2,50,2.7606229686737063,1.1238744258880615,0.0999555538391482,0.56
Experiment 1 — Univariate Close,IONQ,5,ETS,50,2.713840565090361,1.2359683634005627,0.09989837052450923,0.44
Experiment 1 — Univariate Close,IONQ,5,GARCH,50,2.726103354826817,1.2142060156362637,0.10041317737909072,0.58
Experiment 1 — Univariate Close,IONQ,5,GJR-GARCH,50,2.726272473831015,1.216648001742116,0.10042346995833037,0.56
Experiment 1 — Univariate Close,IONQ,5,LightGBM,50,3.6369621096086475,1.2072356674105045,0.12965941005936144,0.46
Experiment 1 — Univariate Close,IONQ,5,Naive,50,2.7287999248504637,1.2299981117248535,0.10049100867837253,0.0
Experiment 1 — Univariate Close,IONQ,5,XGBoost,50,3.5145774524285383,0.91209057543188,0.1197229029202815,0.5
Experiment 1 — Univariate Close,IONQ,10,ARIMA,50,3.580088388456635,1.3824955297500159,0.1493805446945755,0.54
Experiment 1 — Univariate Close,IONQ,10,Chronos-2,50,3.8431026935577393,1.3289697170257568,0.15773220113582054,0.46
Experiment 1 — Univariate Close,IONQ,10,ETS,50,3.5821522126665912,1.389999865144489,0.14885883587664744,0.44
Experiment 1 — Univariate Close,IONQ,10,GARCH,50,3.6128928686259525,1.5754163055697106,0.15013100511873342,0.54
Experiment 1 — Univariate Close,IONQ,10,GJR-GARCH,50,3.613086799833714,1.5781770593085716,0.15015823484256172,0.52
Experiment 1 — Univariate Close,IONQ,10,LightGBM,50,4.887553404124032,2.826141392122441,0.19219751495435194,0.54
Experiment 1 — Univariate Close,IONQ,10,Naive,50,3.6133999252319335,1.5900001525878906,0.15015437586672314,0.02
Experiment 1 — Univariate Close,IONQ,10,XGBoost,50,4.6371054815048725,2.8236512877887963,0.18537417625100042,0.58
Experiment 1 — Univariate Close,IONQ,20,ARIMA,50,5.095924116489358,1.9851023263893088,0.2171064228519726,0.62
Experiment 1 — Univariate Close,IONQ,20,Chronos-2,50,5.918384084701538,2.2977027893066406,0.2541394225152014,0.42
Experiment 1 — Univariate Close,IONQ,20,ETS,50,5.1101873463967555,1.9850001333653928,0.21819681165596272,0.44
Experiment 1 — Univariate Close,IONQ,20,GARCH,50,5.1563626028992555,1.9856592732846639,0.22065505690868548,0.5
Experiment 1 — Univariate Close,IONQ,20,GJR-GARCH,50,5.156860300608425,1.985570462843285,0.22071226419406206,0.48
Experiment 1 — Univariate Close,IONQ,20,LightGBM,50,8.880645441235075,4.471035514673783,0.33775179777304615,0.5
