ticker,horizon,model,model_type,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
ENPH,10,Chronos-LoRA-V5,chronos_lora,0,,,,
ENPH,20,Chronos-2,chronos_pretrained,50,12.138867101966802,3.4826435719057036,0.20887414518347383,0.6
ENPH,20,Chronos-LoRA-V1,chronos_lora,50,12.233331009461407,3.511766108364231,0.20898599230098405,0.6
ENPH,20,Chronos-LoRA-V2,chronos_lora,50,12.253100082585167,3.3240192753794418,0.20650129858144553,0.6
ENPH,20,Chronos-LoRA-V3,chronos_lora,50,12.263106383411799,3.6615699865263514,0.20734622319787338,0.58
ENPH,20,Chronos-LoRA-V4,chronos_lora,50,12.152771639424675,3.355854175806755,0.20536878657245786,0.62
ENPH,20,Chronos-LoRA-V5,chronos_lora,0,,,,
IONQ,1,Chronos-2,chronos_pretrained,50,1.3199899655149396,0.555529381893276,0.04962844408836228,0.5
IONQ,1,Chronos-LoRA-V1,chronos_lora,50,1.315541923304917,0.5400127612623224,0.04963208716904305,0.4
IONQ,1,Chronos-LoRA-V2,chronos_lora,50,1.305249887581289,0.5022842594803087,0.04931215037490473,0.6
IONQ,1,Chronos-LoRA-V3,chronos_lora,50,1.3071058969346538,0.48639537077640327,0.04937845253153205,0.48
IONQ,1,Chronos-LoRA-V4,chronos_lora,50,1.3080852403182177,0.5198409618895647,0.04947698710221156,0.5
IONQ,1,Chronos-LoRA-V5,chronos_lora,0,,,,
IONQ,5,Chronos-2,chronos_pretrained,50,2.6605767205223856,1.0425625286436078,0.09556898157937865,0.56
IONQ,5,Chronos-LoRA-V1,chronos_lora,50,2.6809639739328683,1.1590272395526364,0.0969364913074017,0.58
IONQ,5,Chronos-LoRA-V2,chronos_lora,50,2.760134338800153,1.3277772934306276,0.0997091589241042,0.54
IONQ,5,Chronos-LoRA-V3,chronos_lora,50,2.718124599939935,1.2759229855469165,0.09826321274982916,0.58
IONQ,5,Chronos-LoRA-V4,chronos_lora,50,2.7478011110420026,1.2638983341081698,0.09942207765822257,0.6
