model,lead,observations,empirical_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-LoRA-V4,3,1500,0.8106666666666666,0.09133333333333334,0.098,0.08271131005200247,0.010666666666666602
Chronos-LoRA-V4,4,1500,0.7766666666666666,0.11533333333333333,0.108,0.08165669776747624,-0.023333333333333428
Chronos-LoRA-V4,5,1500,0.794,0.08733333333333333,0.11866666666666667,0.08213917513005435,-0.006000000000000005
Chronos-LoRA-V4,6,1000,0.776,0.09,0.134,0.08196060421224684,-0.02400000000000002
Chronos-LoRA-V4,7,1000,0.801,0.093,0.106,0.08055911083705723,0.0010000000000000009
Chronos-LoRA-V4,8,1000,0.795,0.105,0.1,0.08136643292289228,-0.0050000000000000044
Chronos-LoRA-V4,9,1000,0.792,0.086,0.122,0.08233134606759995,-0.008000000000000007
Chronos-LoRA-V4,10,1000,0.779,0.122,0.099,0.08199112583231181,-0.02100000000000002
Chronos-LoRA-V4,11,500,0.756,0.112,0.132,0.08149028899520636,-0.04400000000000004
Chronos-LoRA-V4,12,500,0.798,0.104,0.098,0.08062676686048507,-0.0020000000000000018
Chronos-LoRA-V4,13,500,0.768,0.134,0.098,0.08215967563912273,-0.03200000000000003
Chronos-LoRA-V4,14,500,0.79,0.088,0.122,0.08209159090183675,-0.010000000000000009
Chronos-LoRA-V4,15,500,0.802,0.092,0.106,0.08131696968711913,0.0020000000000000018
Chronos-LoRA-V4,16,500,0.758,0.13,0.112,0.0833751376401633,-0.04200000000000004
Chronos-LoRA-V4,17,500,0.778,0.118,0.104,0.08406718218512833,-0.02200000000000002
Chronos-LoRA-V4,18,500,0.788,0.082,0.13,0.08331206339597702,-0.01200000000000001
Chronos-LoRA-V4,19,500,0.762,0.1,0.138,0.08266370283998549,-0.038000000000000034
Chronos-LoRA-V4,20,500,0.774,0.118,0.108,0.0816119203735143,-0.026000000000000023
Chronos-LoRA-V5,1,2000,0.769,0.082,0.149,0.08154440399911254,-0.031000000000000028
Chronos-LoRA-V5,2,1500,0.7586666666666667,0.12266666666666666,0.11866666666666667,0.08180813945798825,-0.04133333333333333
Chronos-LoRA-V5,3,1500,0.7953333333333333,0.102,0.10266666666666667,0.08169642154624064,-0.004666666666666708
Chronos-LoRA-V5,4,1500,0.7673333333333333,0.114,0.11866666666666667,0.08127826746118566,-0.03266666666666673
Chronos-LoRA-V5,5,1500,0.7826666666666666,0.092,0.12533333333333332,0.08086218960365901,-0.017333333333333423
Chronos-LoRA-V5,6,1000,0.776,0.092,0.132,0.08079357532644645,-0.02400000000000002
Chronos-LoRA-V5,7,1000,0.807,0.086,0.107,0.0801043379115872,0.007000000000000006
Chronos-LoRA-V5,8,1000,0.792,0.1,0.108,0.08088393949624151,-0.008000000000000007
Chronos-LoRA-V5,9,1000,0.775,0.088,0.137,0.08126962327491492,-0.025000000000000022
Chronos-LoRA-V5,10,1000,0.757,0.139,0.104,0.0805781029178761,-0.04300000000000004
Chronos-LoRA-V5,11,500,0.742,0.116,0.142,0.08081058316770941,-0.05800000000000005
Chronos-LoRA-V5,12,500,0.8,0.108,0.092,0.0802217970257625,0.0
Chronos-LoRA-V5,13,500,0.762,0.13,0.108,0.08029782588034869,-0.038000000000000034
Chronos-LoRA-V5,14,500,0.782,0.09,0.128,0.08031640437245369,-0.018000000000000016
Chronos-LoRA-V5,15,500,0.798,0.092,0.11,0.08020916324760764,-0.0020000000000000018
Chronos-LoRA-V5,16,500,0.748,0.134,0.118,0.0806492307940498,-0.052000000000000046
Chronos-LoRA-V5,17,500,0.748,0.144,0.108,0.07968435680307448,-0.052000000000000046
Chronos-LoRA-V5,18,500,0.764,0.1,0.136,0.07952853180654347,-0.03600000000000003
Chronos-LoRA-V5,19,500,0.746,0.114,0.14,0.0789992506839335,-0.05400000000000005
Chronos-LoRA-V5,20,500,0.758,0.14,0.102,0.07870409660134464,-0.04200000000000004
