ticker,experiment,cutoff_date,horizon,last_price,actual_final,ml_final,chronos_p10,chronos_p50,chronos_p90,ml_mae,chronos_mae,ml_direction,chronos_direction,actual_return,ml_return,chronos_p10_return,chronos_p50_return,chronos_p90_return,chronos_p10_breach,chronos_p90_breach
NVDA,Experiment 2 — OHLCV,2012-06-12,10,0.2863906621932983,0.2914271056652069,0.26876810973578363,0.26126211881637573,0.2853129506111145,0.3095744848251343,0.022658995929423276,0.006114155054092407,0.0,0.0,0.017585920690770696,-0.06153326481580734,-0.0877421881861572,-0.0037630821268062054,0.08095174072466138,False,False
NVDA,Experiment 2 — OHLCV,2012-06-12,20,0.2863906621932983,0.2886799275875091,0.26161631112994493,0.24629023671150208,0.284985214471817,0.3256329894065857,0.027063616457564166,0.003694713115692083,0.0,0.0,0.007993505712367455,-0.08650544285774231,-0.1400200173242051,-0.004907449533157804,0.13702376646205372,False,False
NVDA,Experiment 2 — OHLCV,2012-10-03,1,0.2985239326953888,0.3118018507957458,0.2978585632392616,0.29044461250305176,0.2983803153038025,0.3056066036224365,0.013943287556484218,0.013421535491943304,0.0,0.0,0.04447857155193535,-0.0022288647014648832,-0.027064229388204852,-0.0004810917178049712,0.023725638554664252,False,True
NVDA,Experiment 2 — OHLCV,2012-10-03,5,0.2985239326953888,0.2900535762310028,0.2892998007240779,0.284003347158432,0.2974853217601776,0.3106372654438019,0.000753775506924903,0.007431745529174805,1.0,1.0,-0.028374128626494577,-0.030899137258529663,-0.048641277789186366,-0.0034791546722351407,0.04057742586680124,False,False
NVDA,Experiment 2 — OHLCV,2012-10-03,10,0.2985239326953888,0.2989817559719085,0.28250097766523075,0.27843916416168213,0.29762139916419983,0.31603437662124634,0.016480778306677768,0.0013603568077086847,0.0,0.0,0.0015336233593936655,-0.053673937916755676,-0.06728026243108953,-0.003023320519195738,0.05865675079299271,False,False
NVDA,Experiment 2 — OHLCV,2012-10-03,20,0.2985239326953888,0.2859327793121338,0.27743609378555223,0.2682696282863617,0.29705482721328735,0.32432517409324646,0.00849668552658156,0.011122047901153564,1.0,1.0,-0.04217803668057296,-0.07064036279916763,-0.10134632803426957,-0.004921231838388329,0.08642938998189131,False,False
NVDA,Experiment 2 — OHLCV,2013-01-30,1,0.2838605642318725,0.2824781835079193,0.27846887125815284,0.27793461084365845,0.2840951979160309,0.2901596426963806,0.004009312249766472,0.0016170144081115723,1.0,0.0,-0.004869928754259734,-0.018994159996509552,-0.020876282706791982,0.0008265807714196161,0.02219074876270133,False,False
NVDA,Experiment 2 — OHLCV,2013-01-30,5,0.2838605642318725,0.2843214273452759,0.26809110908549977,0.2729377746582031,0.28425121307373047,0.29475829005241394,0.01623031825977611,7.021427154541016e-05,0.0,1.0,0.0016235545597904633,-0.05555352568626404,-0.038479418947209076,0.0013761997652441682,0.03839112294457214,False,False
NVDA,Experiment 2 — OHLCV,2013-01-30,10,0.2838605642318725,0.2850126326084137,0.2729882519904025,0.26804718375205994,0.2841567099094391,0.29939407110214233,0.012024380618011199,0.0008559226989746094,0.0,1.0,0.0040585714315712895,-0.03830159455537796,-0.05570826832745723,0.0010432786899017277,0.054722313796224276,False,False
NVDA,Experiment 2 — OHLCV,2013-01-30,20,0.2838605642318725,0.2934839725494385,0.2545674706071876,0.26047152280807495,0.2836354970932007,0.3059614896774292,0.03891650194225088,0.009848475456237793,0.0,0.0,0.033901885397878084,-0.10319536179304123,-0.08239623382377315,-0.0007928792056087763,0.07785838623044339,False,False
