ticker,experiment,cutoff_date,horizon,model,actual,predicted,price_mae,return_abs_error,direction_hit
NVDA,Experiment 1 — Univariate Close,2019-05-13,20,naive,3.7409534454345694,3.927550792694092,0.18659734725952237,0.047509849549654426,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,20,arima,3.7409534454345694,3.929912717893763,0.18895927245919353,0.0481112231089893,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,20,ets,3.7409534454345694,3.892249479682402,0.15129603424783244,0.03852172568443124,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,20,garch,3.7409534454345694,4.007672409658913,0.26671896422434394,0.06790974281490803,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,20,gjr_garch,3.7409534454345694,3.998762998233002,0.25780955279843276,0.06564130329721052,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,20,xgboost,3.7409534454345694,3.1931510320627083,0.5478024133718611,0.1394768501507011,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,20,lightgbm,3.7409534454345694,3.0733440090672297,0.6676094363673397,0.16998110822887535,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,naive,4.464773178100586,4.192028999328613,0.27274417877197266,0.06506256965675927,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,arima,4.464773178100586,4.190228698325788,0.27454447977479823,0.06549202780294905,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,ets,4.464773178100586,4.1882422705640945,0.27653090753649145,0.06596588610927556,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,garch,4.464773178100586,4.196189690510574,0.2685834875900115,0.06407004522941695,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,egarch,4.464773178100586,4.195626863359156,0.26914631474143036,0.06420430650277864,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,gjr_garch,4.464773178100586,4.195737852563252,0.26903532553733367,0.06417783025366042,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,xgboost,4.464773178100586,4.203772673925697,0.2610005041748886,0.062261139943614374,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,1,lightgbm,4.464773178100586,4.176061584405206,0.28871159369538013,0.06887156404252448,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,5,naive,4.578790664672852,4.192028999328613,0.3867616653442383,0.0922612094062758,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,5,arima,4.578790664672852,4.19072783884278,0.38806282583007157,0.09257159859634145,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,5,ets,4.578790664672852,4.1881828981114735,0.3906077665613781,0.09317868903672577,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,5,garch,4.578790664672852,4.2128737921222585,0.365916872550593,0.0872887264399167,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,5,gjr_garch,4.578790664672852,4.2106061082321835,0.36818455644066805,0.08782967782418383,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,5,xgboost,4.578790664672852,4.018917446412274,0.5598732182605772,0.13355661860885149,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,5,lightgbm,4.578790664672852,4.164901207209368,0.41388945746348327,0.09873248909532129,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,10,naive,4.470734119415283,4.192028999328613,0.2787051200866699,0.06648454009533489,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,10,arima,4.470734119415283,4.190740735013744,0.2799933844015392,0.06679185293002077,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,10,ets,4.470734119415283,4.188111449851506,0.2826226695637768,0.06741906356302418,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,10,garch,4.470734119415283,4.233822235293006,0.23691188412227682,0.05651484857576605,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,10,gjr_garch,4.470734119415283,4.229265542180564,0.24146857723471893,0.05760183845898781,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,10,xgboost,4.470734119415283,4.022617204190613,0.44811691522467,0.10689737959743106,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,10,lightgbm,4.470734119415283,3.9162425589911956,0.5544915604240876,0.1322728350669553,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,20,naive,4.298345565795898,4.192028999328613,0.10631656646728516,0.025361600905984272,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,20,arima,4.298345565795898,4.190740608443522,0.1076049573523763,0.02566894393373942,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,20,ets,4.298345565795898,4.187977298948082,0.11036826684781609,0.02632812579910404,0.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,20,garch,4.298345565795898,4.276032136927569,0.022313428868329765,0.005322823117851261,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,20,gjr_garch,4.298345565795898,4.266832846132639,0.03151271966325986,0.0075172952449296115,1.0
NVDA,Experiment 1 — Univariate Close,2019-09-04,20,xgboost,4.298345565795898,3.391611883126302,0.9067336826695964,0.21629947760733925,0.0
