ticker,history_length,horizon,model,observations,mean_price_mae,mean_return_abs_error
MSFT,30,5,XGBoost,48,5.606021719684047,0.029003154509147634
MSFT,30,10,ARIMA,50,5.902237427166222,0.03636192686241075
MSFT,30,10,Naive,50,5.946102676391603,0.036623325151462965
MSFT,30,10,XGBoost,48,7.205380426138837,0.044197674570145264
MSFT,30,20,ARIMA,50,6.687091557665712,0.044326352064725114
MSFT,30,20,Naive,50,6.664801788330078,0.044221734789479654
MSFT,30,20,XGBoost,48,8.135222463127182,0.05498684080086776
MSFT,60,1,ARIMA,50,1.8392246855704466,0.010246981423713282
MSFT,60,1,Naive,50,1.8188493728637707,0.01016005975298858
MSFT,60,1,XGBoost,48,2.513010276694221,0.012743475156404586
MSFT,60,5,ARIMA,50,3.592979915356594,0.020516844163899116
MSFT,60,5,Naive,50,3.653377952575685,0.020700403427132297
MSFT,60,5,XGBoost,48,4.841806182359637,0.027175430652858077
MSFT,60,10,ARIMA,50,5.857634014562592,0.032867375921609564
MSFT,60,10,Naive,50,5.844934692382811,0.0328617753050331
MSFT,60,10,XGBoost,48,7.332801629434635,0.04065245709269595
MSFT,60,20,ARIMA,50,8.45200205656496,0.05382446359220257
MSFT,60,20,Naive,50,8.421849212646485,0.053790077971454284
MSFT,60,20,XGBoost,48,10.093232997652494,0.0636011676495409
MSFT,90,1,ARIMA,50,1.5317529267104413,0.009269851925809737
MSFT,90,1,Naive,50,1.5001703643798845,0.009135897893251397
MSFT,90,1,XGBoost,49,1.9921885085183189,0.011425471724805968
MSFT,90,5,ARIMA,50,4.124263211939138,0.025150729757252986
MSFT,90,5,Naive,50,4.11530487060547,0.02505284557630026
MSFT,90,5,XGBoost,49,5.23150400310974,0.03166332052832619
MSFT,90,10,ARIMA,50,5.515330627109807,0.032243363743006126
MSFT,90,10,Naive,50,5.504749755859377,0.03207142490575979
MSFT,90,10,XGBoost,49,5.667792669784982,0.03599302416752881
MSFT,90,20,ARIMA,50,8.125933120092233,0.046657604748773326
MSFT,90,20,Naive,50,8.100277900695799,0.04647384048883199
MSFT,90,20,XGBoost,48,9.432064717369522,0.05421826388950499
MSFT,180,1,ARIMA,50,1.9495498044904482,0.01097187190821661
MSFT,180,1,Naive,50,1.9938269424438517,0.011007582589748979
MSFT,180,1,XGBoost,50,2.2084034383405746,0.012705993845422224
MSFT,180,5,ARIMA,50,4.923933498557313,0.029288518151826082
MSFT,180,5,Naive,50,4.9024856185913075,0.029203267916421097
MSFT,180,5,XGBoost,50,5.368776392143365,0.033780913024675535
MSFT,180,10,ARIMA,50,7.680483611080254,0.03930358820769522
MSFT,180,10,Naive,50,7.716609840393067,0.039306574501314535
MSFT,180,10,XGBoost,50,8.41087942775956,0.0440826366898191
MSFT,180,20,ARIMA,50,10.96669714917005,0.06243004492313223
MSFT,180,20,Naive,50,10.998838577270508,0.06259493835915517
MSFT,180,20,XGBoost,50,10.386079408059892,0.07133218969492625
NVDA,30,1,ARIMA,50,0.5509156143566782,0.021781781796855464
NVDA,30,1,Naive,50,0.5488110667467108,0.02165032476424944
NVDA,30,1,XGBoost,48,0.6956684630164615,0.0213324471916084
NVDA,30,5,ARIMA,50,1.4205034138160364,0.03998848481344358
NVDA,30,5,Naive,50,1.4203504514694212,0.03991711253278532
NVDA,30,5,XGBoost,48,2.1613388461296417,0.05631461995847343
NVDA,30,10,ARIMA,50,1.4670946643566136,0.060077937100328764
NVDA,30,10,Naive,50,1.4687472367286682,0.05978375981098111
NVDA,30,10,XGBoost,48,2.541618422068949,0.0785066337356641
NVDA,30,20,ARIMA,50,1.8875465403317548,0.08631006879390425
NVDA,30,20,Naive,50,1.8870110157132138,0.08539487654271277
